Name,tag,Length,product,locus_tag
aminotransferase class V-fold PLP-dependent enzyme CDS,SGL_RS07815,1206,aminotransferase class V-fold PLP-dependent enzyme,slr2143
SGNH/GDSL hydrolase family protein CDS,SGL_RS13000,1206,SGNH/GDSL hydrolase family protein,slr0386
ATP phosphoribosyltransferase regulatory subunit CDS,SGL_RS17420,1206,ATP phosphoribosyltransferase regulatory subunit,slr1560
class I SAM-dependent methyltransferase CDS,SGL_RS04370,1203,class I SAM-dependent methyltransferase,slr1763
RNA-guided endonuclease TnpB family protein CDS,SGL_RS08560,1203,RNA-guided endonuclease TnpB family protein,slr2062
phosphoglycerate kinase CDS,SGL_RS11980,1203,phosphoglycerate kinase,slr0394
serine hydrolase CDS,SGL_RS12260,1203,serine hydrolase,slr1924
DNA double-strand break repair nuclease NurA CDS,SGL_RS12660,1203,DNA double-strand break repair nuclease NurA,sll0294
alr CDS,SGL_RS15085,1203,alanine racemase,slr0827
argG CDS,SGL_RS18195,1203,argininosuccinate synthase,slr0585
NAD(P)/FAD-dependent oxidoreductase CDS,SGL_RS02390,1200,NAD(P)/FAD-dependent oxidoreductase,sll0703
glutathione S-transferase family protein CDS,SGL_RS08670,1200,glutathione S-transferase family protein,sll1902
tuf CDS,SGL_RS10925,1200,elongation factor Tu,sll1099
chromate transporter CDS,SGL_RS17170,1200,chromate transporter,slr1457
homocysteine biosynthesis protein CDS,SGL_RS03950,1197,homocysteine biosynthesis protein,slr0689
tetratricopeptide repeat protein CDS,SGL_RS04650,1197,tetratricopeptide repeat protein,slr2048
dprA CDS,SGL_RS05985,1197,DNA-processing protein DprA,slr1197
pentapeptide repeat-containing protein CDS,SGL_RS06970,1197,pentapeptide repeat-containing protein,sll1350
grrM CDS,SGL_RS07610,1197,cyclophane-forming radical SAM/SPASM peptide maturase GrrM/OscB,sll1766
glycosyltransferase family 1 protein CDS,SGL_RS09690,1197,glycosyltransferase family 1 protein,sll1231
"Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain CDS",SGL_RS12255,1197,"Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C-terminal domain",slr1923
saccharopine dehydrogenase family protein CDS,SGL_RS13805,1197,saccharopine dehydrogenase family protein,slr0049
GNAT family N-acetyltransferase CDS,SGL_RS17280,1197,GNAT family N-acetyltransferase,slr0656
transporter substrate-binding domain-containing protein CDS,SGL_RS08465,1194,transporter substrate-binding domain-containing protein,slr1257
citrate synthase CDS,SGL_RS13790,1194,citrate synthase,sll0401
DUF4105 domain-containing protein CDS,SGL_RS15065,1194,DUF4105 domain-containing protein,sll0539
lhgO CDS,SGL_RS17405,1194,L-2-hydroxyglutarate oxidase,sll1495
reverse transcriptase-like protein CDS,SGL_RS04985,1191,reverse transcriptase-like protein,sll0980
ATP-binding protein CDS,SGL_RS09645,1191,ATP-binding protein,slr1324
TRC40/GET3/ArsA family transport-energizing ATPase CDS,SGL_RS15270,1191,TRC40/GET3/ArsA family transport-energizing ATPase,sll0086
tetratricopeptide repeat protein CDS,SGL_RS15680,1191,tetratricopeptide repeat protein,slr0626
response regulator CDS,SGL_RS04010,1188,response regulator,slr1594
glycosyltransferase family 4 protein CDS,SGL_RS06110,1188,glycosyltransferase family 4 protein,sll1971
AI-2E family transporter CDS,SGL_RS13900,1188,AI-2E family transporter,sll0063
LdpA C-terminal domain-containing domain CDS,SGL_RS16545,1188,LdpA C-terminal domain-containing domain,sll0031
glycosyltransferase CDS,SGL_RS17450,1188,glycosyltransferase,slr1566
HhoA/HhoB/HtrA family serine endopeptidase CDS,SGL_RS02985,1185,HhoA/HhoB/HtrA family serine endopeptidase,sll1679
glycosyltransferase family 2 protein CDS,SGL_RS04295,1185,glycosyltransferase family 2 protein,sll1004
cupin domain-containing protein CDS,SGL_RS06890,1185,cupin domain-containing protein,sll1358
NAD(P)H-quinone oxidoreductase subunit H CDS,SGL_RS08920,1185,NAD(P)H-quinone oxidoreductase subunit H,slr0261
dxr CDS,SGL_RS13380,1185,1-deoxy-D-xylulose-5-phosphate reductoisomerase,sll0019
lpxB CDS,SGL_RS13445,1185,lipid-A-disaccharide synthase,slr0015
aspartate aminotransferase CDS,SGL_RS13490,1185,aspartate aminotransferase,sll0006
proton extrusion protein PcxA CDS,SGL_RS02935,1182,proton extrusion protein PcxA,sll1685
FtsW/RodA/SpoVE family cell cycle protein CDS,SGL_RS10655,1182,FtsW/RodA/SpoVE family cell cycle protein,slr1267
bioF CDS,SGL_RS14860,1182,8-amino-7-oxononanoate synthase,slr0917
M20 family metallopeptidase CDS,SGL_RS15740,1182,M20 family metallopeptidase,sll0100
LptF/LptG family permease CDS,SGL_RS16770,1182,LptF/LptG family permease,sll0496
cofH CDS,SGL_RS03160,1179,"7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit CofH",sll1659
FAD-binding oxidoreductase CDS,SGL_RS03755,1179,FAD-binding oxidoreductase,sll1025
LptF/LptG family permease CDS,SGL_RS07195,1179,LptF/LptG family permease,slr0882
moeB CDS,SGL_RS11520,1179,molybdopterin-synthase adenylyltransferase MoeB,sll1536
cysteine desulfurase family protein CDS,SGL_RS02380,1176,cysteine desulfurase family protein,sll0704
transaldolase CDS,SGL_RS03080,1176,transaldolase,slr1793
MFS transporter CDS,SGL_RS03230,1176,MFS transporter,sll1200
dnaN CDS,SGL_RS03390,1176,DNA polymerase III subunit beta,slr0965
LL-diaminopimelate aminotransferase CDS,SGL_RS03410,1176,LL-diaminopimelate aminotransferase,sll0938
lipid-A-disaccharide synthase-related protein CDS,SGL_RS05050,1176,lipid-A-disaccharide synthase-related protein,slr1384
purT CDS,SGL_RS08220,1176,phosphoribosylglycinamide formyltransferase 2,slr0861
AGE family epimerase/isomerase CDS,SGL_RS10340,1176,AGE family epimerase/isomerase,slr1975
DUF58 domain-containing protein CDS,SGL_RS12290,1176,DUF58 domain-containing protein,slr1927
speB CDS,SGL_RS05590,1173,agmatinase,sll1077
sat CDS,SGL_RS11000,1173,sulfate adenylyltransferase,slr1165
glycosyltransferase CDS,SGL_RS11480,1173,glycosyltransferase,sll1540
molybdopterin molybdotransferase MoeA CDS,SGL_RS14785,1173,molybdopterin molybdotransferase MoeA,slr0900
DUF1822 family protein CDS,SGL_RS15950,1173,DUF1822 family protein,sll0281
glycosyltransferase family 4 protein CDS,SGL_RS09310,1170,glycosyltransferase family 4 protein,slr1508
gshA CDS,SGL_RS12490,1170,glutamate--cysteine ligase,slr0990
pyridoxal phosphate-dependent aminotransferase CDS,SGL_RS13785,1170,pyridoxal phosphate-dependent aminotransferase,sll0402
response regulator CDS,SGL_RS04195,1167,response regulator,slr1041
metallophosphoesterase CDS,SGL_RS05865,1167,metallophosphoesterase,slr1895
branched-chain amino acid ABC transporter permease CDS,SGL_RS06010,1167,branched-chain amino acid ABC transporter permease,slr1200
GntR family transcriptional regulator CDS,SGL_RS08500,1167,GntR family transcriptional regulator,sll1961
NDP-sugar synthase CDS,SGL_RS11220,1167,NDP-sugar synthase,sll1558
pentapeptide repeat-containing protein CDS,SGL_RS14210,1167,pentapeptide repeat-containing protein,slr0719
purK CDS,SGL_RS18210,1167,5-(carboxyamino)imidazole ribonucleotide synthase,sll0578
GuaB3 family IMP dehydrogenase-related protein CDS,SGL_RS08785,1164,GuaB3 family IMP dehydrogenase-related protein,slr1722
hemH CDS,SGL_RS15155,1164,ferrochelatase,slr0839
pyridoxal phosphate-dependent aminotransferase CDS,SGL_RS16530,1164,pyridoxal phosphate-dependent aminotransferase,slr0036
corA CDS,SGL_RS16695,1164,magnesium/cobalt transporter CorA,sll0507
glycosyltransferase CDS,SGL_RS03690,1161,glycosyltransferase,slr1077
SpoIID/LytB domain-containing protein CDS,SGL_RS05185,1161,SpoIID/LytB domain-containing protein,sll1283
hypothetical protein CDS,SGL_RS07705,1161,hypothetical protein,sll1755
FkbM family methyltransferase CDS,SGL_RS11595,1161,FkbM family methyltransferase,sll1530
cysteine desulfurase family protein CDS,SGL_RS13005,1161,cysteine desulfurase family protein,slr0387
oxidoreductase CDS,SGL_RS11025,1158,oxidoreductase,slr1167
DUF2974 domain-containing protein CDS,SGL_RS15445,1158,DUF2974 domain-containing protein,sll0482
DegT/DnrJ/EryC1/StrS family aminotransferase CDS,SGL_RS17895,1158,DegT/DnrJ/EryC1/StrS family aminotransferase,slr1666
glycosyltransferase CDS,SGL_RS03670,1155,glycosyltransferase,slr1073
recF CDS,SGL_RS07025,1155,DNA replication/repair protein RecF,sll1277
tetratricopeptide repeat protein CDS,SGL_RS08025,1155,tetratricopeptide repeat protein,sll1628
yidC CDS,SGL_RS10510,1155,membrane protein insertase YidC,slr1471
alanine--glyoxylate aminotransferase family protein CDS,SGL_RS11200,1155,alanine--glyoxylate aminotransferase family protein,sll1559
rlmB CDS,SGL_RS11440,1155,23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB,slr0955
extracellular solute-binding protein CDS,SGL_RS12030,1155,extracellular solute-binding protein,slr0401
RNA methyltransferase CDS,SGL_RS13955,1155,RNA methyltransferase,slr0064
ATP-dependent 6-phosphofructokinase CDS,SGL_RS16400,1155,ATP-dependent 6-phosphofructokinase,sll0745
carA CDS,SGL_RS17390,1155,glutamine-hydrolyzing carbamoyl-phosphate synthase small subunit,sll1498
NAD-dependent epimerase/dehydratase family protein CDS,SGL_RS04850,1152,NAD-dependent epimerase/dehydratase family protein,slr1020
acr3 CDS,SGL_RS11355,1152,arsenite efflux transporter Acr3,slr0944
histidine kinase CDS,SGL_RS13170,1152,histidine kinase,sll0750
murein transglycosylase A CDS,SGL_RS13395,1152,murein transglycosylase A,sll0016
pstS CDS,SGL_RS14200,1152,phosphate ABC transporter substrate-binding protein PstS,sll0680
devC CDS,SGL_RS17550,1152,ABC transporter permease DevC,sll1482
GTP-binding protein CDS,SGL_RS18380,1152,GTP-binding protein,slr0609
FAD-dependent oxidoreductase CDS,SGL_RS03995,1149,FAD-dependent oxidoreductase,slr1591
nspC CDS,SGL_RS07180,1149,carboxynorspermidine decarboxylase,sll0873
thrC CDS,SGL_RS10720,1149,threonine synthase,sll1172
glycosyltransferase CDS,SGL_RS03685,1146,glycosyltransferase,slr1076
quinone-dependent dihydroorotate dehydrogenase CDS,SGL_RS17005,1146,quinone-dependent dihydroorotate dehydrogenase,slr1418
hybrid sensor histidine kinase/response regulator CDS,SGL_RS03815,1143,hybrid sensor histidine kinase/response regulator,slr1400
prepilin-type N-terminal cleavage/methylation domain-containing protein CDS,SGL_RS05405,1143,prepilin-type N-terminal cleavage/methylation domain-containing protein,slr2015
glycosyltransferase CDS,SGL_RS09875,1143,glycosyltransferase,slr0813
response regulator CDS,SGL_RS11265,1143,response regulator,slr1693
corA CDS,SGL_RS16275,1143,magnesium/cobalt transporter CorA,sll0671
glycosyltransferase family 4 protein CDS,SGL_RS06325,1140,glycosyltransferase family 4 protein,sll1724
aromatic ring-hydroxylating dioxygenase subunit alpha CDS,SGL_RS11875,1140,aromatic ring-hydroxylating dioxygenase subunit alpha,sll0264
site-2 protease family protein CDS,SGL_RS16955,1140,site-2 protease family protein,sll0528
hrcA CDS,SGL_RS03065,1137,heat-inducible transcriptional repressor HrcA,sll1670
DegT/DnrJ/EryC1/StrS family aminotransferase CDS,SGL_RS03585,1137,DegT/DnrJ/EryC1/StrS family aminotransferase,slr1615
esterase-like activity of phytase family protein CDS,SGL_RS03750,1137,esterase-like activity of phytase family protein,slr1087
DegT/DnrJ/EryC1/StrS family aminotransferase CDS,SGL_RS05560,1137,DegT/DnrJ/EryC1/StrS family aminotransferase,slr1140
cbiD CDS,SGL_RS06435,1137,cobalt-precorrin-5B (C(1))-methyltransferase CbiD,slr1538
glycosyltransferase CDS,SGL_RS11540,1137,glycosyltransferase,sll1534
aminoglycoside phosphotransferase family protein CDS,SGL_RS07650,1134,aminoglycoside phosphotransferase family protein,slr1880
dnaJ CDS,SGL_RS16870,1134,molecular chaperone DnaJ,sll0897
SGNH/GDSL hydrolase family protein CDS,SGL_RS11350,1131,SGNH/GDSL hydrolase family protein,sll0914
anhydro-N-acetylmuramic acid kinase CDS,SGL_RS18105,1131,anhydro-N-acetylmuramic acid kinase,slr1179
proB CDS,SGL_RS04550,1128,glutamate 5-kinase,slr2035
AI-2E family transporter CDS,SGL_RS15570,1128,AI-2E family transporter,sll0597
hypD CDS,SGL_RS02090,1125,hydrogenase formation protein HypD,slr1498
DUF4350 domain-containing protein CDS,SGL_RS02720,1125,DUF4350 domain-containing protein,slr1415
sodium-dependent bicarbonate transport family permease CDS,SGL_RS09335,1125,sodium-dependent bicarbonate transport family permease,slr1512
hypothetical protein CDS,SGL_RS13335,1125,hypothetical protein,slr0358
abortive infection system antitoxin AbiGi familyprotein CDS,SGL_RS14005,1125,abortive infection system antitoxin AbiGi familyprotein,slr0468
tgt CDS,SGL_RS16370,1125,tRNA guanosine(34) transglycosylase Tgt,slr0713
response regulator CDS,SGL_RS05095,1122,response regulator,sll1291
urtD CDS,SGL_RS13090,1122,urea ABC transporter ATP-binding protein UrtD,sll0764
FAD-dependent oxidoreductase CDS,SGL_RS02415,1119,FAD-dependent oxidoreductase,slr0734
response regulator CDS,SGL_RS06085,1119,response regulator,slr1214
lptC CDS,SGL_RS08310,1119,LPS export ABC transporter periplasmic protein LptC,slr0872
cax CDS,SGL_RS10015,1119,calcium/proton exchanger,slr1336
hypothetical protein CDS,SGL_RS10325,1119,hypothetical protein,sll1884
branched-chain amino acid ABC transporter permease CDS,SGL_RS12165,1119,branched-chain amino acid ABC transporter permease,sll0146
gcvT CDS,SGL_RS12745,1119,glycine cleavage system aminomethyltransferase GcvT,sll0171
HAMP domain-containing sensor histidine kinase CDS,SGL_RS16660,1119,HAMP domain-containing sensor histidine kinase,slr0533
nuoH CDS,SGL_RS17000,1119,NADH-quinone oxidoreductase subunit NuoH,sll0519
hypothetical protein CDS,SGL_RS17965,1119,hypothetical protein,sll0449
prfB CDS,SGL_RS12270,1116,peptide chain release factor 2,sll1865
glycerate kinase CDS,SGL_RS06360,1116,glycerate kinase,slr1840
Gfo/Idh/MocA family oxidoreductase CDS,SGL_RS09850,1116,Gfo/Idh/MocA family oxidoreductase,sll0816
ABC transporter permease CDS,SGL_RS15105,1116,ABC transporter permease,sll0833
wecB CDS,SGL_RS15665,1116,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing),slr0624
sensor histidine kinase KdpD CDS,SGL_RS08885,1113,sensor histidine kinase KdpD,slr1731
TRAP transporter substrate-binding protein CDS,SGL_RS10220,1113,TRAP transporter substrate-binding protein,slr1962
precorrin-8X methylmutase CDS,SGL_RS16080,1113,precorrin-8X methylmutase,sll0794
TIGR00303 family protein CDS,SGL_RS04185,1110,TIGR00303 family protein,sll1500
S-(hydroxymethyl)glutathione dehydrogenase/classIII alcohol dehydrogenase CDS,SGL_RS04900,1110,S-(hydroxymethyl)glutathione dehydrogenase/classIII alcohol dehydrogenase,sll0990
TRAP transporter substrate-binding protein CDS,SGL_RS07340,1110,TRAP transporter substrate-binding protein,sll1314
"RNA polymerase sigma factor, RpoD/SigA family CDS",SGL_RS07975,1110,"RNA polymerase sigma factor, RpoD/SigA family",sll1689
fatty acid desaturase CDS,SGL_RS08715,1110,fatty acid desaturase,sll1611
YheT family hydrolase CDS,SGL_RS08935,1110,YheT family hydrolase,slr0264
type IV pilus twitching motility protein PilT CDS,SGL_RS12210,1110,type IV pilus twitching motility protein PilT,slr0161
patatin-like phospholipase family protein CDS,SGL_RS13925,1110,patatin-like phospholipase family protein,slr0060
LuxR C-terminal-related transcriptional regulator CDS,SGL_RS16165,1110,LuxR C-terminal-related transcriptional regulator,sll0782
rsgA CDS,SGL_RS16860,1110,small ribosomal subunit biogenesis GTPase RsgA,sll0898
helix-turn-helix domain-containing protein CDS,SGL_RS17395,1110,helix-turn-helix domain-containing protein,slr1557
obgE CDS,SGL_RS03790,1107,GTPase ObgE,slr1090
hypothetical protein CDS,SGL_RS04815,1107,hypothetical protein,slr1920
two-component system response regulator CDS,SGL_RS09200,1107,two-component system response regulator,slr2100
ABC transporter ATP-binding protein CDS,SGL_RS10355,1107,ABC transporter ATP-binding protein,sll1878
hybrid sensor histidine kinase/response regulator CDS,SGL_RS11235,1107,hybrid sensor histidine kinase/response regulator,sll1555
ribD CDS,SGL_RS13965,1107,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD,slr0066
glycosyltransferase family 1 protein CDS,SGL_RS03625,1104,glycosyltransferase family 1 protein,slr1064
calcium/sodium antiporter CDS,SGL_RS03865,1104,calcium/sodium antiporter,slr0681
pilM CDS,SGL_RS10685,1104,type IV pilus assembly protein PilM,slr1274
AI-2E family transporter CDS,SGL_RS10785,1104,AI-2E family transporter,sll1166
hypothetical protein CDS,SGL_RS15955,1104,hypothetical protein,sll0280
rseP CDS,SGL_RS07995,1101,RIP metalloprotease RseP,slr1821
hybrid sensor histidine kinase/response regulator CDS,SGL_RS09195,1101,hybrid sensor histidine kinase/response regulator,slr2099
polysaccharide ABC transporter ATP-binding protein CDS,SGL_RS09460,1101,polysaccharide ABC transporter ATP-binding protein,slr2108
queA CDS,SGL_RS15565,1101,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase QueA,sll0467
potassium channel protein CDS,SGL_RS04870,1098,potassium channel protein,sll0993
class III poly(R)-hydroxyalkanoic acid synthase subunit PhaC CDS,SGL_RS06270,1098,class III poly(R)-hydroxyalkanoic acid synthase subunit PhaC,slr1830
hypothetical protein CDS,SGL_RS08245,1098,hypothetical protein,sll0843
glucose-1-phosphate thymidylyltransferase CDS,SGL_RS13560,1098,glucose-1-phosphate thymidylyltransferase,sll0207
glycosyltransferase family 1 protein CDS,SGL_RS14460,1098,glycosyltransferase family 1 protein,sll0380
mraY CDS,SGL_RS16390,1098,phospho-N-acetylmuramoyl-pentapeptide- transferase,sll0657
prfA CDS,SGL_RS18110,1098,peptide chain release factor 1,sll1110
hypothetical protein CDS,SGL_RS17970,1095,hypothetical protein,sll0448
hypothetical protein CDS,SGL_RS02340,1092,hypothetical protein,slr0723
tocopherol cyclase family protein CDS,SGL_RS08070,1092,tocopherol cyclase family protein,slr1737
HAMP domain-containing sensor histidine kinase CDS,SGL_RS08860,1092,HAMP domain-containing sensor histidine kinase,sll1590
ychF CDS,SGL_RS08975,1092,redox-regulated ATPase YchF,sll0245
tetratricopeptide repeat protein CDS,SGL_RS11405,1092,tetratricopeptide repeat protein,sll0910
ABC transporter ATP-binding protein CDS,SGL_RS17635,1092,ABC transporter ATP-binding protein,slr0747
gmd CDS,SGL_RS01905,1089,"GDP-mannose 4,6-dehydratase",sll1212
ArsA family ATPase CDS,SGL_RS03090,1089,ArsA family ATPase,slr1794
aroC CDS,SGL_RS06190,1089,chorismate synthase,sll1747
bioB CDS,SGL_RS07055,1089,biotin synthase BioB,slr1364
leuB CDS,SGL_RS09375,1089,3-isopropylmalate dehydrogenase,slr1517
MSMEG 0568 family radical SAM protein CDS,SGL_RS16145,1089,MSMEG_0568 family radical SAM protein,sll0785
ATP-dependent 6-phosphofructokinase CDS,SGL_RS03255,1086,ATP-dependent 6-phosphofructokinase,sll1196
phosphotransferase enzyme family protein CDS,SGL_RS05965,1086,phosphotransferase enzyme family protein,sll1119
aroB CDS,SGL_RS09600,1086,3-dehydroquinate synthase,slr2130
ruvB CDS,SGL_RS14255,1086,Holliday junction branch migration DNA helicase RuvB,sll0613
psbA CDS,SGL_RS01910,1083,photosystem II q(b) protein,slr1311
ald CDS,SGL_RS02960,1083,alanine dehydrogenase,sll1682
Fe(3+) ABC transporter substrate-binding protein CDS,SGL_RS03245,1083,Fe(3+) ABC transporter substrate-binding protein,slr1295
rfbG CDS,SGL_RS03550,1083,"CDP-glucose 4,6-dehydratase",slr0984
prepilin-type N-terminal cleavage/methylation domain-containing protein CDS,SGL_RS05415,1083,prepilin-type N-terminal cleavage/methylation domain-containing protein,slr2017
hpnH CDS,SGL_RS09305,1083,adenosyl-hopene transferase HpnH,slr1507
psbA CDS,SGL_RS10440,1083,photosystem II q(b) protein,sll1867
psbA CDS,SGL_RS18130,1083,photosystem II q(b) protein,slr1181
DUF2157 domain-containing protein CDS,SGL_RS04285,1080,DUF2157 domain-containing protein,sll1006
late competence development ComFB family protein CDS,SGL_RS06245,1080,late competence development ComFB family protein,sll1739
hybrid sensor histidine kinase/response regulator CDS,SGL_RS09695,1080,hybrid sensor histidine kinase/response regulator,sll1229
PIN/TRAM domain-containing protein CDS,SGL_RS10305,1080,PIN/TRAM domain-containing protein,slr1972
fatty acid desaturase CDS,SGL_RS10825,1080,fatty acid desaturase,sll1441
fatty acid desaturase CDS,SGL_RS11885,1080,fatty acid desaturase,sll0262
fba CDS,SGL_RS13385,1080,fructose-bisphosphate aldolase class II,sll0018
AI-2E family transporter CDS,SGL_RS14015,1080,AI-2E family transporter,sll0462
acsF CDS,SGL_RS01895,1077,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase,sll1214
MraY family glycosyltransferase CDS,SGL_RS03890,1077,MraY family glycosyltransferase,sll0648
hypothetical protein CDS,SGL_RS04805,1077,hypothetical protein,sll1830
hypothetical protein CDS,SGL_RS05155,1077,hypothetical protein,slr1395
mnmA CDS,SGL_RS08240,1077,tRNA 2-thiouridine(34) synthase MnmA,sll0844
IS701-like element IS4Sa2 family transposase CDS,SGL_RS09405,1077,IS701-like element IS4Sa2 family transposase,slr1522
acsF CDS,SGL_RS10390,1077,magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase,sll1874
hypothetical protein CDS,SGL_RS15720,1077,hypothetical protein,sll0102
bchI CDS,SGL_RS04915,1074,magnesium chelatase ATPase subunit I,slr1030
aromatic ring-hydroxylating dioxygenase subunit alpha CDS,SGL_RS10425,1074,aromatic ring-hydroxylating dioxygenase subunit alpha,sll1869
dynamin-like GTPase family protein CDS,SGL_RS12790,1074,dynamin-like GTPase family protein,slr0179
phosphotransacetylase family protein CDS,SGL_RS16555,1074,phosphotransacetylase family protein,slr0039
glycosyltransferase family 2 protein CDS,SGL_RS03630,1071,glycosyltransferase family 2 protein,slr1065
mannose-1-phosphate guanylyltransferase CDS,SGL_RS10610,1071,mannose-1-phosphate guanylyltransferase,sll1370
Gfo/Idh/MocA family oxidoreductase CDS,SGL_RS12675,1071,Gfo/Idh/MocA family oxidoreductase,slr0338
potassium channel protein CDS,SGL_RS16900,1071,potassium channel protein,sll0536
hypothetical protein CDS,SGL_RS03175,1068,hypothetical protein,slr1800
dusB CDS,SGL_RS14330,1068,tRNA dihydrouridine synthase DusB,slr0644
glk CDS,SGL_RS15590,1068,glucokinase,sll0593
sulfate/molybdate ABC transporter ATP-binding protein CDS,SGL_RS17160,1068,sulfate/molybdate ABC transporter ATP-binding protein,slr1455
murG CDS,SGL_RS17830,1068,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,slr1656
ribonucleotide-diphosphate reductase subunit beta CDS,SGL_RS18250,1068,ribonucleotide-diphosphate reductase subunit beta,slr0591
linear amide C-N hydrolase CDS,SGL_RS02910,1065,linear amide C-N hydrolase,slr1772
D-alanine--D-alanine ligase family protein CDS,SGL_RS07575,1065,D-alanine--D-alanine ligase family protein,slr1874
glycosyltransferase CDS,SGL_RS11005,1065,glycosyltransferase,slr1166
ABC transporter ATP-binding protein CDS,SGL_RS13685,1065,ABC transporter ATP-binding protein,sll0415
recA CDS,SGL_RS18280,1065,recombinase RecA,sll0569
Mrp/NBP35 family ATP-binding protein CDS,SGL_RS13975,1062,Mrp/NBP35 family ATP-binding protein,slr0067
cobD CDS,SGL_RS06405,1059,threonine-phosphate decarboxylase CobD,sll1713
psbD CDS,SGL_RS08205,1059,photosystem II D2 protein (photosystem q(a) protein),sll0849
virginiamycin B hydrolase Vgb CDS,SGL_RS12735,1059,virginiamycin B hydrolase Vgb,sll0173
cobW CDS,SGL_RS15425,1059,cobalamin biosynthesis protein CobW,slr0502
psbD CDS,SGL_RS16825,1059,photosystem II D2 protein (photosystem q(a) protein),slr0927
sulfate ABC transporter substrate-binding protein CDS,SGL_RS17140,1059,sulfate ABC transporter substrate-binding protein,slr1452
hypothetical protein CDS,SGL_RS03025,1056,hypothetical protein,slr1788
aroF CDS,SGL_RS03435,1056,3-deoxy-7-phosphoheptulonate synthase,sll0934
aldo/keto reductase CDS,SGL_RS09395,1056,aldo/keto reductase,slr1520
fatty acid desaturase CDS,SGL_RS10130,1056,fatty acid desaturase,slr1350
mtnA CDS,SGL_RS12395,1056,S-methyl-5-thioribose-1-phosphate isomerase,slr1938
argC CDS,SGL_RS15325,1056,N-acetyl-gamma-glutamyl-phosphate reductase,sll0080
2OG-Fe(II) oxygenase CDS,SGL_RS11700,1053,2OG-Fe(II) oxygenase,sll0428
rlmN CDS,SGL_RS15750,1053,23S rRNA (adenine(2503)-C(2))-methyltransferase RlmN,sll0098
hemE CDS,SGL_RS16675,1053,uroporphyrinogen decarboxylase,slr0536
iron ABC transporter permease CDS,SGL_RS01935,1050,iron ABC transporter permease,slr1317
hypothetical protein CDS,SGL_RS02010,1050,hypothetical protein,slr1485
anthranilate phosphoribosyltransferase family protein CDS,SGL_RS06600,1050,anthranilate phosphoribosyltransferase family protein,sll1634
DMT family transporter CDS,SGL_RS08325,1050,DMT family transporter,sll1164
hisC CDS,SGL_RS08515,1050,histidinol-phosphate transaminase,sll1958
fni CDS,SGL_RS11230,1050,type 2 isopentenyl-diphosphate Delta-isomerase,sll1556
pdxA CDS,SGL_RS16360,1050,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,sll0660
trpD CDS,SGL_RS07485,1047,anthranilate phosphoribosyltransferase,slr1867
plsX CDS,SGL_RS09320,1047,phosphate acyltransferase PlsX,slr1510
tsaD CDS,SGL_RS09815,1047,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,slr0807
hypothetical protein CDS,SGL_RS14685,1047,hypothetical protein,slr0209
amidohydrolase family protein CDS,SGL_RS15625,1047,amidohydrolase family protein,slr0619
WD40 repeat domain-containing protein CDS,SGL_RS17455,1047,WD40 repeat domain-containing protein,sll1491
thiL CDS,SGL_RS03020,1044,thiamine-phosphate kinase,slr1787
fbp CDS,SGL_RS11420,1044,class 1 fructose-bisphosphatase,slr0952
moaC CDS,SGL_RS14795,1044,cyclic pyranopterin monophosphate synthase MoaC,slr0902
AraC family transcriptional regulator CDS,SGL_RS01980,1041,AraC family transcriptional regulator,sll1408
hemolysin family protein CDS,SGL_RS10060,1041,hemolysin family protein,sll1254
Fe(3+) ABC transporter substrate-binding protein CDS,SGL_RS15495,1041,Fe(3+) ABC transporter substrate-binding protein,slr0513
hypothetical protein CDS,SGL_RS18165,1041,hypothetical protein,slr1187
LysR family transcriptional regulator CDS,SGL_RS04820,1038,LysR family transcriptional regulator,sll0998
hypE CDS,SGL_RS06520,1038,hydrogenase expression/formation protein HypE,sll1462
glpX CDS,SGL_RS09170,1038,class II fructose-bisphosphatase,slr2094
DegT/DnrJ/EryC1/StrS family aminotransferase CDS,SGL_RS09505,1038,DegT/DnrJ/EryC1/StrS family aminotransferase,slr2114
"RNA polymerase sigma factor, RpoD/SigA family CDS",SGL_RS12540,1038,"RNA polymerase sigma factor, RpoD/SigA family",sll0306
alpha/beta hydrolase CDS,SGL_RS14940,1038,alpha/beta hydrolase,sll0553
lpxD CDS,SGL_RS13060,1035,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,slr0776
AI-2E family transporter CDS,SGL_RS13935,1035,AI-2E family transporter,sll0060
hypothetical protein CDS,SGL_RS16600,1035,hypothetical protein,sll0518
iron ABC transporter permease CDS,SGL_RS01930,1032,iron ABC transporter permease,slr1316
