,Seconds,Minutes,Oxy Electrode 1 Last (V),OxyElectrode 2 Last (V),OxyElectrode 3 Last (V)
126:14:17,2160,36,0.704,0.512,0.594
126:14:18,2161,36.01666667,0.705,0.512,0.593
126:14:19,2162,36.03333333,0.705,0.512,0.593
126:14:20,2163,36.05,0.704,0.513,0.594
126:14:21,2164,36.06666667,0.705,0.512,0.594
126:14:22,2165,36.08333333,0.705,0.513,0.594
126:14:23,2166,36.1,0.703,0.512,0.594
126:14:24,2167,36.11666667,0.706,0.513,0.594
126:14:25,2168,36.13333333,0.704,0.512,0.593
126:14:26,2169,36.15,0.705,0.513,0.595
126:14:27,2170,36.16666667,0.705,0.512,0.594
126:14:28,2171,36.18333333,0.704,0.513,0.594
126:14:29,2172,36.2,0.704,0.512,0.594
126:14:30,2173,36.21666667,0.705,0.512,0.594
126:14:31,2174,36.23333333,0.703,0.512,0.593
126:14:32,2175,36.25,0.704,0.512,0.595
126:14:33,2176,36.26666667,0.704,0.512,0.594
126:14:34,2177,36.28333333,0.703,0.512,0.594
126:14:35,2178,36.3,0.705,0.512,0.593
126:14:36,2179,36.31666667,0.704,0.512,0.593
126:14:37,2180,36.33333333,0.704,0.512,0.593
126:14:38,2181,36.35,0.704,0.513,0.593
126:14:39,2182,36.36666667,0.704,0.513,0.593
126:14:40,2183,36.38333333,0.703,0.513,0.592
126:14:41,2184,36.4,0.704,0.513,0.592
126:14:42,2185,36.41666667,0.703,0.512,0.591
126:14:43,2186,36.43333333,0.703,0.512,0.592
126:14:44,2187,36.45,0.703,0.512,0.591
126:14:45,2188,36.46666667,0.703,0.512,0.591
126:14:46,2189,36.48333333,0.701,0.512,0.59
126:14:47,2190,36.5,0.703,0.512,0.591
126:14:48,2191,36.51666667,0.703,0.511,0.589
126:14:49,2192,36.53333333,0.702,0.512,0.591
126:14:50,2193,36.55,0.703,0.511,0.59
126:14:51,2194,36.56666667,0.703,0.512,0.591
126:14:52,2195,36.58333333,0.702,0.512,0.591
126:14:53,2196,36.6,0.703,0.511,0.591
126:14:54,2197,36.61666667,0.703,0.512,0.591
126:14:55,2198,36.63333333,0.701,0.511,0.592
126:14:56,2199,36.65,0.703,0.512,0.591
126:14:57,2200,36.66666667,0.703,0.512,0.591
126:14:58,2201,36.68333333,0.702,0.512,0.591
126:14:59,2202,36.7,0.702,0.511,0.591
126:15:00,2203,36.71666667,0.704,0.512,0.591
126:15:01,2204,36.73333333,0.701,0.511,0.59
126:15:02,2205,36.75,0.703,0.512,0.591
126:15:03,2206,36.76666667,0.703,0.511,0.591
126:15:04,2207,36.78333333,0.702,0.512,0.591
126:15:05,2208,36.8,0.702,0.511,0.591
126:15:06,2209,36.81666667,0.703,0.512,0.591
126:15:07,2210,36.83333333,0.702,0.512,0.59
126:15:08,2211,36.85,0.702,0.512,0.591
126:15:09,2212,36.86666667,0.703,0.512,0.59
126:15:10,2213,36.88333333,0.702,0.512,0.591
126:15:11,2214,36.9,0.701,0.512,0.591
126:15:12,2215,36.91666667,0.702,0.512,0.591
126:15:13,2216,36.93333333,0.702,0.512,0.59
126:15:14,2217,36.95,0.701,0.512,0.59
126:15:15,2218,36.96666667,0.702,0.513,0.59
126:15:16,2219,36.98333333,0.702,0.513,0.59
126:15:17,2220,37,0.701,0.513,0.59
126:15:18,2221,37.01666667,0.701,0.513,0.591
126:15:19,2222,37.03333333,0.702,0.513,0.592
126:15:20,2223,37.05,0.701,0.513,0.59
126:15:21,2224,37.06666667,0.701,0.513,0.591
126:15:22,2225,37.08333333,0.701,0.513,0.59
126:15:23,2226,37.1,0.702,0.513,0.591
126:15:24,2227,37.11666667,0.7,0.513,0.59
126:15:25,2228,37.13333333,0.701,0.514,0.591
126:15:26,2229,37.15,0.702,0.513,0.591
126:15:27,2230,37.16666667,0.701,0.514,0.591
126:15:28,2231,37.18333333,0.7,0.514,0.591
126:15:29,2232,37.2,0.701,0.514,0.591
126:15:30,2233,37.21666667,0.702,0.514,0.59
126:15:31,2234,37.23333333,0.701,0.514,0.59
126:15:32,2235,37.25,0.701,0.514,0.59
126:15:33,2236,37.26666667,0.701,0.514,0.59
126:15:34,2237,37.28333333,0.701,0.514,0.591
126:15:35,2238,37.3,0.7,0.514,0.591
126:15:36,2239,37.31666667,0.701,0.514,0.592
126:15:37,2240,37.33333333,0.701,0.513,0.59
126:15:38,2241,37.35,0.701,0.514,0.591
126:15:39,2242,37.36666667,0.7,0.514,0.59
126:15:40,2243,37.38333333,0.702,0.514,0.591
126:15:41,2244,37.4,0.7,0.513,0.589
126:15:42,2245,37.41666667,0.699,0.513,0.59
126:15:43,2246,37.43333333,0.7,0.513,0.589
126:15:44,2247,37.45,0.701,0.513,0.589
126:15:45,2248,37.46666667,0.7,0.513,0.589
126:15:46,2249,37.48333333,0.699,0.513,0.589
126:15:47,2250,37.5,0.7,0.513,0.588
126:15:48,2251,37.51666667,0.7,0.512,0.588
126:15:49,2252,37.53333333,0.699,0.512,0.588
126:15:50,2253,37.55,0.699,0.513,0.588
126:15:51,2254,37.56666667,0.701,0.513,0.588
126:15:52,2255,37.58333333,0.7,0.513,0.587
126:15:53,2256,37.6,0.699,0.513,0.588
126:15:54,2257,37.61666667,0.699,0.513,0.587
126:15:55,2258,37.63333333,0.701,0.514,0.588
126:15:56,2259,37.65,0.699,0.513,0.588
126:15:57,2260,37.66666667,0.699,0.514,0.59
126:15:58,2261,37.68333333,0.699,0.513,0.59
126:15:59,2262,37.7,0.7,0.514,0.591
126:16:00,2263,37.71666667,0.699,0.514,0.591
126:16:01,2264,37.73333333,0.698,0.513,0.591
126:16:02,2265,37.75,0.699,0.514,0.59
126:16:03,2266,37.76666667,0.699,0.513,0.59
126:16:04,2267,37.78333333,0.699,0.513,0.589
126:16:05,2268,37.8,0.698,0.513,0.589
126:16:06,2269,37.81666667,0.699,0.513,0.589
126:16:07,2270,37.83333333,0.7,0.513,0.589
126:16:08,2271,37.85,0.699,0.513,0.588
126:16:09,2272,37.86666667,0.697,0.513,0.588
126:16:10,2273,37.88333333,0.699,0.513,0.588
126:16:11,2274,37.9,0.698,0.513,0.587
126:16:12,2275,37.91666667,0.698,0.513,0.587
126:16:13,2276,37.93333333,0.697,0.513,0.587
126:16:14,2277,37.95,0.699,0.514,0.587
126:16:15,2278,37.96666667,0.699,0.513,0.587
126:16:16,2279,37.98333333,0.698,0.513,0.587
126:16:17,2280,38,0.697,0.513,0.587
126:16:18,2281,38.01666667,0.699,0.514,0.587
126:16:19,2282,38.03333333,0.699,0.514,0.587
126:16:20,2283,38.05,0.698,0.514,0.587
126:16:21,2284,38.06666667,0.698,0.514,0.587
126:16:22,2285,38.08333333,0.698,0.515,0.587
126:16:23,2286,38.1,0.699,0.515,0.586
126:16:24,2287,38.11666667,0.698,0.514,0.586
126:16:25,2288,38.13333333,0.698,0.515,0.586
126:16:26,2289,38.15,0.698,0.515,0.586
126:16:27,2290,38.16666667,0.699,0.515,0.586
126:16:28,2291,38.18333333,0.697,0.514,0.586
126:16:29,2292,38.2,0.697,0.514,0.586
126:16:30,2293,38.21666667,0.697,0.514,0.586
126:16:31,2294,38.23333333,0.699,0.514,0.587
126:16:32,2295,38.25,0.697,0.513,0.585
126:16:33,2296,38.26666667,0.697,0.513,0.586
126:16:34,2297,38.28333333,0.697,0.513,0.585
126:16:35,2298,38.3,0.698,0.513,0.586
126:16:36,2299,38.31666667,0.698,0.513,0.585
126:16:37,2300,38.33333333,0.697,0.513,0.585
126:16:38,2301,38.35,0.696,0.513,0.585
126:16:39,2302,38.36666667,0.698,0.513,0.585
126:16:40,2303,38.38333333,0.698,0.513,0.585
126:16:41,2304,38.4,0.696,0.513,0.585
126:16:42,2305,38.41666667,0.696,0.514,0.585
126:16:43,2306,38.43333333,0.697,0.514,0.585
126:16:44,2307,38.45,0.698,0.514,0.585
126:16:45,2308,38.46666667,0.696,0.514,0.585
126:16:46,2309,38.48333333,0.696,0.514,0.586
126:16:47,2310,38.5,0.697,0.514,0.585
126:16:48,2311,38.51666667,0.698,0.514,0.585
126:16:49,2312,38.53333333,0.696,0.514,0.584
126:16:50,2313,38.55,0.696,0.514,0.585
126:16:51,2314,38.56666667,0.696,0.514,0.585
126:16:52,2315,38.58333333,0.698,0.514,0.585
126:16:53,2316,38.6,0.696,0.514,0.584
126:16:54,2317,38.61666667,0.696,0.514,0.585
126:16:55,2318,38.63333333,0.696,0.514,0.584
126:16:56,2319,38.65,0.697,0.515,0.584
126:16:57,2320,38.66666667,0.696,0.515,0.584
126:16:58,2321,38.68333333,0.695,0.515,0.584
126:16:59,2322,38.7,0.696,0.515,0.584
126:17:00,2323,38.71666667,0.697,0.515,0.584
126:17:01,2324,38.73333333,0.697,0.515,0.584
126:17:02,2325,38.75,0.695,0.514,0.583
126:17:03,2326,38.76666667,0.696,0.515,0.584
126:17:04,2327,38.78333333,0.696,0.515,0.583
126:17:05,2328,38.8,0.697,0.515,0.584
126:17:06,2329,38.81666667,0.695,0.515,0.583
126:17:07,2330,38.83333333,0.695,0.515,0.584
126:17:08,2331,38.85,0.695,0.515,0.583
126:17:09,2332,38.86666667,0.696,0.516,0.584
126:17:10,2333,38.88333333,0.696,0.515,0.582
126:17:11,2334,38.9,0.695,0.515,0.583
126:17:12,2335,38.91666667,0.695,0.515,0.583
126:17:13,2336,38.93333333,0.696,0.515,0.583
126:17:14,2337,38.95,0.696,0.515,0.583
126:17:15,2338,38.96666667,0.695,0.515,0.583
126:17:16,2339,38.98333333,0.695,0.515,0.583
126:17:17,2340,39,0.695,0.515,0.583
126:17:18,2341,39.01666667,0.695,0.515,0.583
126:17:19,2342,39.03333333,0.696,0.515,0.583
126:17:20,2343,39.05,0.695,0.515,0.583
126:17:21,2344,39.06666667,0.694,0.514,0.582
126:17:22,2345,39.08333333,0.695,0.515,0.583
126:17:23,2346,39.1,0.695,0.515,0.582
126:17:24,2347,39.11666667,0.695,0.515,0.583
126:17:25,2348,39.13333333,0.693,0.515,0.582
126:17:26,2349,39.15,0.695,0.515,0.583
126:17:27,2350,39.16666667,0.695,0.515,0.582
126:17:28,2351,39.18333333,0.695,0.515,0.583
126:17:29,2352,39.2,0.693,0.515,0.582
126:17:30,2353,39.21666667,0.695,0.515,0.582
126:17:31,2354,39.23333333,0.695,0.515,0.582
126:17:32,2355,39.25,0.694,0.515,0.582
126:17:33,2356,39.26666667,0.693,0.515,0.582
126:17:34,2357,39.28333333,0.694,0.515,0.582
126:17:35,2358,39.3,0.695,0.516,0.582
126:17:36,2359,39.31666667,0.694,0.515,0.581
126:17:37,2360,39.33333333,0.694,0.515,0.582
126:17:38,2361,39.35,0.693,0.515,0.581
126:17:39,2362,39.36666667,0.695,0.516,0.582
126:17:40,2363,39.38333333,0.694,0.515,0.582
126:17:41,2364,39.4,0.694,0.516,0.582
126:17:42,2365,39.41666667,0.692,0.515,0.581
126:17:43,2366,39.43333333,0.694,0.516,0.582
126:17:44,2367,39.45,0.694,0.515,0.581
126:17:45,2368,39.46666667,0.694,0.516,0.581
126:17:46,2369,39.48333333,0.692,0.515,0.58
126:17:47,2370,39.5,0.693,0.516,0.582
126:17:48,2371,39.51666667,0.693,0.516,0.581
126:17:49,2372,39.53333333,0.694,0.516,0.581
126:17:50,2373,39.55,0.693,0.515,0.581
126:17:51,2374,39.56666667,0.692,0.515,0.581
126:17:52,2375,39.58333333,0.693,0.516,0.581
126:17:53,2376,39.6,0.693,0.516,0.581
126:17:54,2377,39.61666667,0.693,0.516,0.58
126:17:55,2378,39.63333333,0.692,0.516,0.58
126:17:56,2379,39.65,0.692,0.517,0.581
126:17:57,2380,39.66666667,0.692,0.517,0.58
126:17:58,2381,39.68333333,0.694,0.517,0.58
126:17:59,2382,39.7,0.691,0.516,0.579
126:18:00,2383,39.71666667,0.692,0.517,0.58
126:18:01,2384,39.73333333,0.692,0.516,0.58
126:18:02,2385,39.75,0.693,0.517,0.581
126:18:03,2386,39.76666667,0.692,0.516,0.579
126:18:04,2387,39.78333333,0.691,0.517,0.58
126:18:05,2388,39.8,0.691,0.516,0.579
126:18:06,2389,39.81666667,0.693,0.517,0.58
126:18:07,2390,39.83333333,0.692,0.516,0.579
126:18:08,2391,39.85,0.691,0.516,0.58
126:18:09,2392,39.86666667,0.691,0.516,0.58
126:18:10,2393,39.88333333,0.691,0.516,0.58
126:18:11,2394,39.9,0.692,0.516,0.58
126:18:12,2395,39.91666667,0.691,0.516,0.579
126:18:13,2396,39.93333333,0.691,0.516,0.579
126:18:14,2397,39.95,0.691,0.516,0.579
126:18:15,2398,39.96666667,0.692,0.516,0.579
126:18:16,2399,39.98333333,0.691,0.516,0.578
126:18:17,2400,40,0.69,0.516,0.579
126:18:18,2401,40.01666667,0.69,0.516,0.578
126:18:19,2402,40.03333333,0.692,0.516,0.579
126:18:20,2403,40.05,0.691,0.515,0.577
126:18:21,2404,40.06666667,0.691,0.516,0.578
126:18:22,2405,40.08333333,0.689,0.516,0.578
126:18:23,2406,40.1,0.691,0.516,0.578
126:18:24,2407,40.11666667,0.691,0.515,0.577
126:18:25,2408,40.13333333,0.691,0.516,0.577
126:18:26,2409,40.15,0.689,0.516,0.576
126:18:27,2410,40.16666667,0.69,0.516,0.576
126:18:28,2411,40.18333333,0.69,0.516,0.576
126:18:29,2412,40.2,0.69,0.516,0.576
126:18:30,2413,40.21666667,0.689,0.516,0.576
126:18:31,2414,40.23333333,0.689,0.515,0.576
126:18:32,2415,40.25,0.69,0.516,0.576
126:18:33,2416,40.26666667,0.69,0.516,0.576
126:18:34,2417,40.28333333,0.69,0.516,0.576
126:18:35,2418,40.3,0.688,0.515,0.575
126:18:36,2419,40.31666667,0.689,0.516,0.577
126:18:37,2420,40.33333333,0.689,0.516,0.576
126:18:38,2421,40.35,0.69,0.516,0.576
126:18:39,2422,40.36666667,0.688,0.516,0.575
126:18:40,2423,40.38333333,0.689,0.516,0.576
126:18:41,2424,40.4,0.689,0.515,0.575
126:18:42,2425,40.41666667,0.69,0.515,0.575
126:18:43,2426,40.43333333,0.689,0.515,0.574
126:18:44,2427,40.45,0.688,0.515,0.575
126:18:45,2428,40.46666667,0.688,0.515,0.575
126:18:46,2429,40.48333333,0.688,0.515,0.576
126:18:47,2430,40.5,0.689,0.515,0.576
126:18:48,2431,40.51666667,0.688,0.515,0.576
126:18:49,2432,40.53333333,0.688,0.515,0.577
126:18:50,2433,40.55,0.688,0.515,0.577
126:18:51,2434,40.56666667,0.689,0.515,0.577
126:18:52,2435,40.58333333,0.688,0.515,0.576
126:18:53,2436,40.6,0.688,0.515,0.577
126:18:54,2437,40.61666667,0.687,0.515,0.577
126:18:55,2438,40.63333333,0.688,0.515,0.578
126:18:56,2439,40.65,0.688,0.515,0.577
126:18:57,2440,40.66666667,0.688,0.515,0.577
126:18:58,2441,40.68333333,0.687,0.515,0.576
126:18:59,2442,40.7,0.687,0.515,0.577
126:19:00,2443,40.71666667,0.688,0.515,0.576
126:19:01,2444,40.73333333,0.689,0.515,0.577
126:19:02,2445,40.75,0.688,0.515,0.577
126:19:03,2446,40.76666667,0.687,0.515,0.577
126:19:04,2447,40.78333333,0.687,0.516,0.577
126:19:05,2448,40.8,0.687,0.516,0.577
126:19:06,2449,40.81666667,0.688,0.516,0.577
126:19:07,2450,40.83333333,0.687,0.516,0.576
126:19:08,2451,40.85,0.687,0.516,0.577
126:19:09,2452,40.86666667,0.687,0.516,0.577
126:19:10,2453,40.88333333,0.688,0.516,0.577
126:19:11,2454,40.9,0.687,0.516,0.576
126:19:12,2455,40.91666667,0.687,0.517,0.577
126:19:13,2456,40.93333333,0.686,0.516,0.576
126:19:14,2457,40.95,0.686,0.517,0.577
126:19:15,2458,40.96666667,0.686,0.516,0.577
126:19:16,2459,40.98333333,0.687,0.516,0.578
126:19:17,2460,41,0.687,0.516,0.577
126:19:18,2461,41.01666667,0.686,0.516,0.577
126:19:19,2462,41.03333333,0.686,0.516,0.576
126:19:20,2463,41.05,0.686,0.516,0.577
126:19:21,2464,41.06666667,0.687,0.516,0.576
126:19:22,2465,41.08333333,0.687,0.516,0.576
126:19:23,2466,41.1,0.686,0.516,0.576
126:19:24,2467,41.11666667,0.685,0.516,0.576
126:19:25,2468,41.13333333,0.685,0.516,0.576
126:19:26,2469,41.15,0.685,0.515,0.576
126:19:27,2470,41.16666667,0.686,0.515,0.577
126:19:28,2471,41.18333333,0.686,0.515,0.576
126:19:29,2472,41.2,0.686,0.515,0.577
126:19:30,2473,41.21666667,0.684,0.515,0.575
126:19:31,2474,41.23333333,0.685,0.516,0.576
126:19:32,2475,41.25,0.685,0.515,0.575
126:19:33,2476,41.26666667,0.686,0.515,0.576
126:19:34,2477,41.28333333,0.685,0.515,0.575
126:19:35,2478,41.3,0.685,0.516,0.576
126:19:36,2479,41.31666667,0.684,0.516,0.575
126:19:37,2480,41.33333333,0.685,0.516,0.576
126:19:38,2481,41.35,0.685,0.516,0.576
126:19:39,2482,41.36666667,0.685,0.515,0.576
126:19:40,2483,41.38333333,0.685,0.515,0.576
126:19:41,2484,41.4,0.684,0.515,0.576
126:19:42,2485,41.41666667,0.684,0.516,0.576
126:19:43,2486,41.43333333,0.684,0.515,0.576
126:19:44,2487,41.45,0.685,0.516,0.577
126:19:45,2488,41.46666667,0.685,0.515,0.576
126:19:46,2489,41.48333333,0.685,0.516,0.576
126:19:47,2490,41.5,0.684,0.516,0.575
126:19:48,2491,41.51666667,0.684,0.517,0.577
126:19:49,2492,41.53333333,0.684,0.517,0.576
126:19:50,2493,41.55,0.685,0.517,0.577
126:19:51,2494,41.56666667,0.684,0.517,0.576
126:19:52,2495,41.58333333,0.684,0.517,0.576
126:19:53,2496,41.6,0.683,0.518,0.576
126:19:54,2497,41.61666667,0.683,0.518,0.576
126:19:55,2498,41.63333333,0.683,0.518,0.576
126:19:56,2499,41.65,0.684,0.518,0.576
126:19:57,2500,41.66666667,0.685,0.518,0.576
126:19:58,2501,41.68333333,0.683,0.518,0.576
126:19:59,2502,41.7,0.683,0.518,0.576
126:20:00,2503,41.71666667,0.682,0.518,0.576
126:20:01,2504,41.73333333,0.683,0.519,0.576
126:20:02,2505,41.75,0.683,0.518,0.575
126:20:03,2506,41.76666667,0.684,0.519,0.575
126:20:04,2507,41.78333333,0.683,0.518,0.574
126:20:05,2508,41.8,0.683,0.519,0.575
126:20:06,2509,41.81666667,0.682,0.518,0.574
126:20:07,2510,41.83333333,0.682,0.519,0.575
126:20:08,2511,41.85,0.682,0.519,0.574
126:20:09,2512,41.86666667,0.683,0.519,0.575
126:20:10,2513,41.88333333,0.683,0.519,0.574
126:20:11,2514,41.9,0.683,0.518,0.575
126:20:12,2515,41.91666667,0.682,0.518,0.575
126:20:13,2516,41.93333333,0.681,0.518,0.575
126:20:14,2517,41.95,0.682,0.519,0.574
126:20:15,2518,41.96666667,0.682,0.518,0.575
126:20:16,2519,41.98333333,0.683,0.518,0.575
126:20:17,2520,42,0.683,0.517,0.575
126:20:18,2521,42.01666667,0.682,0.517,0.575
126:20:19,2522,42.03333333,0.682,0.516,0.575
126:20:20,2523,42.05,0.681,0.516,0.576
126:20:21,2524,42.06666667,0.681,0.516,0.575
126:20:22,2525,42.08333333,0.682,0.516,0.576
126:20:23,2526,42.1,0.682,0.516,0.576
126:20:24,2527,42.11666667,0.682,0.516,0.576
126:20:25,2528,42.13333333,0.681,0.516,0.575
126:20:26,2529,42.15,0.681,0.516,0.576
126:20:27,2530,42.16666667,0.68,0.516,0.576
126:20:28,2531,42.18333333,0.682,0.516,0.576
126:20:29,2532,42.2,0.682,0.516,0.575
126:20:30,2533,42.21666667,0.682,0.516,0.576
126:20:31,2534,42.23333333,0.681,0.516,0.576
126:20:32,2535,42.25,0.68,0.515,0.575
126:20:33,2536,42.26666667,0.68,0.515,0.575
126:20:34,2537,42.28333333,0.681,0.515,0.575
126:20:35,2538,42.3,0.681,0.515,0.575
126:20:36,2539,42.31666667,0.681,0.514,0.575
126:20:37,2540,42.33333333,0.681,0.514,0.575
126:20:38,2541,42.35,0.679,0.514,0.574
126:20:39,2542,42.36666667,0.68,0.514,0.575
126:20:40,2543,42.38333333,0.68,0.514,0.575
126:20:41,2544,42.4,0.681,0.514,0.576
126:20:42,2545,42.41666667,0.681,0.514,0.575
126:20:43,2546,42.43333333,0.68,0.514,0.575
126:20:44,2547,42.45,0.679,0.513,0.574
126:20:45,2548,42.46666667,0.679,0.514,0.576
126:20:46,2549,42.48333333,0.68,0.514,0.575
126:20:47,2550,42.5,0.681,0.514,0.576
126:20:48,2551,42.51666667,0.681,0.514,0.575
126:20:49,2552,42.53333333,0.68,0.514,0.575
126:20:50,2553,42.55,0.68,0.515,0.575
126:20:51,2554,42.56666667,0.679,0.514,0.575
126:20:52,2555,42.58333333,0.68,0.515,0.575
126:20:53,2556,42.6,0.68,0.515,0.575
126:20:54,2557,42.61666667,0.68,0.515,0.575
126:20:55,2558,42.63333333,0.679,0.515,0.574
126:20:56,2559,42.65,0.678,0.515,0.575
126:20:57,2560,42.66666667,0.677,0.515,0.575
126:20:58,2561,42.68333333,0.679,0.515,0.575
126:20:59,2562,42.7,0.679,0.515,0.574
126:21:00,2563,42.71666667,0.68,0.515,0.575
126:21:01,2564,42.73333333,0.679,0.515,0.574
126:21:02,2565,42.75,0.679,0.515,0.575
126:21:03,2566,42.76666667,0.678,0.515,0.574
126:21:04,2567,42.78333333,0.679,0.516,0.575
126:21:05,2568,42.8,0.678,0.516,0.575
126:21:06,2569,42.81666667,0.679,0.516,0.575
126:21:07,2570,42.83333333,0.679,0.515,0.575
126:21:08,2571,42.85,0.678,0.516,0.575
126:21:09,2572,42.86666667,0.678,0.516,0.575
126:21:10,2573,42.88333333,0.677,0.516,0.575
126:21:11,2574,42.9,0.679,0.516,0.575
126:21:12,2575,42.91666667,0.678,0.516,0.575
126:21:13,2576,42.93333333,0.679,0.516,0.575
126:21:14,2577,42.95,0.679,0.515,0.574
126:21:15,2578,42.96666667,0.678,0.516,0.575
126:21:16,2579,42.98333333,0.676,0.515,0.574
126:21:17,2580,43,0.677,0.516,0.575
126:21:18,2581,43.01666667,0.678,0.515,0.574
126:21:19,2582,43.03333333,0.679,0.516,0.574
126:21:20,2583,43.05,0.678,0.515,0.573
126:21:21,2584,43.06666667,0.677,0.515,0.573
126:21:22,2585,43.08333333,0.676,0.515,0.572
126:21:23,2586,43.1,0.676,0.515,0.572
126:21:24,2587,43.11666667,0.676,0.515,0.572
126:21:25,2588,43.13333333,0.677,0.515,0.573
126:21:26,2589,43.15,0.677,0.515,0.573
126:21:27,2590,43.16666667,0.677,0.515,0.573
126:21:28,2591,43.18333333,0.676,0.515,0.573
126:21:29,2592,43.2,0.675,0.515,0.573
126:21:30,2593,43.21666667,0.677,0.516,0.573
126:21:31,2594,43.23333333,0.677,0.515,0.573
126:21:32,2595,43.25,0.677,0.515,0.573
126:21:33,2596,43.26666667,0.676,0.515,0.572
126:21:34,2597,43.28333333,0.676,0.515,0.573
126:21:35,2598,43.3,0.675,0.515,0.573
126:21:36,2599,43.31666667,0.677,0.515,0.573
126:21:37,2600,43.33333333,0.676,0.515,0.573
126:21:38,2601,43.35,0.677,0.516,0.573
126:21:39,2602,43.36666667,0.676,0.515,0.572
126:21:40,2603,43.38333333,0.675,0.515,0.573
126:21:41,2604,43.4,0.675,0.515,0.572
126:21:42,2605,43.41666667,0.676,0.515,0.572
126:21:43,2606,43.43333333,0.677,0.515,0.572
126:21:44,2607,43.45,0.676,0.515,0.572
126:21:45,2608,43.46666667,0.675,0.515,0.572
126:21:46,2609,43.48333333,0.674,0.515,0.572
126:21:47,2610,43.5,0.675,0.516,0.573
126:21:48,2611,43.51666667,0.675,0.515,0.572
126:21:49,2612,43.53333333,0.676,0.516,0.573
126:21:50,2613,43.55,0.675,0.515,0.572
126:21:51,2614,43.56666667,0.675,0.516,0.572
126:21:52,2615,43.58333333,0.674,0.515,0.571
126:21:53,2616,43.6,0.674,0.516,0.572
126:21:54,2617,43.61666667,0.674,0.516,0.572
126:21:55,2618,43.63333333,0.675,0.516,0.572
126:21:56,2619,43.65,0.675,0.515,0.572
126:21:57,2620,43.66666667,0.675,0.515,0.571
126:21:58,2621,43.68333333,0.674,0.515,0.571
126:21:59,2622,43.7,0.674,0.515,0.571
126:22:00,2623,43.71666667,0.674,0.515,0.571
126:22:01,2624,43.73333333,0.674,0.515,0.571
126:22:02,2625,43.75,0.674,0.515,0.571
126:22:03,2626,43.76666667,0.675,0.515,0.571
126:22:04,2627,43.78333333,0.675,0.516,0.571
126:22:05,2628,43.8,0.674,0.515,0.57
126:22:06,2629,43.81666667,0.674,0.516,0.571
126:22:07,2630,43.83333333,0.673,0.515,0.57
126:22:08,2631,43.85,0.673,0.516,0.571
126:22:09,2632,43.86666667,0.673,0.515,0.57
126:22:10,2633,43.88333333,0.675,0.515,0.571
126:22:11,2634,43.9,0.674,0.515,0.569
126:22:12,2635,43.91666667,0.673,0.515,0.57
126:22:13,2636,43.93333333,0.672,0.515,0.569
126:22:14,2637,43.95,0.673,0.515,0.57
126:22:15,2638,43.96666667,0.673,0.515,0.569
126:22:16,2639,43.98333333,0.674,0.515,0.57
126:22:17,2640,44,0.674,0.515,0.569
126:22:18,2641,44.01666667,0.672,0.514,0.569
126:22:19,2642,44.03333333,0.673,0.514,0.57
126:22:20,2643,44.05,0.673,0.515,0.57
126:22:21,2644,44.06666667,0.674,0.515,0.57
126:22:22,2645,44.08333333,0.673,0.514,0.569
126:22:23,2646,44.1,0.673,0.515,0.569
126:22:24,2647,44.11666667,0.672,0.515,0.569
126:22:25,2648,44.13333333,0.673,0.515,0.569
126:22:26,2649,44.15,0.673,0.515,0.569
126:22:27,2650,44.16666667,0.673,0.515,0.569
126:22:28,2651,44.18333333,0.671,0.515,0.569
126:22:29,2652,44.2,0.672,0.516,0.57
126:22:30,2653,44.21666667,0.672,0.515,0.569
126:22:31,2654,44.23333333,0.673,0.515,0.57
126:22:32,2655,44.25,0.672,0.515,0.568
126:22:33,2656,44.26666667,0.671,0.516,0.569
126:22:34,2657,44.28333333,0.671,0.515,0.568
126:22:35,2658,44.3,0.672,0.515,0.568
126:22:36,2659,44.31666667,0.672,0.515,0.568
126:22:37,2660,44.33333333,0.671,0.515,0.567
126:22:38,2661,44.35,0.671,0.515,0.567
126:22:39,2662,44.36666667,0.67,0.515,0.567
126:22:40,2663,44.38333333,0.672,0.515,0.567
126:22:41,2664,44.4,0.672,0.515,0.567
126:22:42,2665,44.41666667,0.671,0.515,0.567
126:22:43,2666,44.43333333,0.67,0.515,0.567
126:22:44,2667,44.45,0.67,0.515,0.568
126:22:45,2668,44.46666667,0.671,0.515,0.566
126:22:46,2669,44.48333333,0.672,0.515,0.567
126:22:47,2670,44.5,0.67,0.515,0.566
126:22:48,2671,44.51666667,0.67,0.516,0.566
126:22:49,2672,44.53333333,0.671,0.516,0.566
126:22:50,2673,44.55,0.671,0.516,0.567
126:22:51,2674,44.56666667,0.671,0.516,0.566
126:22:52,2675,44.58333333,0.67,0.515,0.566
126:22:53,2676,44.6,0.67,0.515,0.566
126:22:54,2677,44.61666667,0.67,0.515,0.566
126:22:55,2678,44.63333333,0.671,0.515,0.566
126:22:56,2679,44.65,0.669,0.514,0.565
126:22:57,2680,44.66666667,0.669,0.515,0.565
126:22:58,2681,44.68333333,0.669,0.514,0.565
126:22:59,2682,44.7,0.67,0.515,0.565
126:23:00,2683,44.71666667,0.669,0.514,0.564
126:23:01,2684,44.73333333,0.67,0.515,0.565
126:23:02,2685,44.75,0.668,0.514,0.565
126:23:03,2686,44.76666667,0.67,0.515,0.565
126:23:04,2687,44.78333333,0.67,0.514,0.564
126:23:05,2688,44.8,0.669,0.515,0.565
126:23:06,2689,44.81666667,0.668,0.515,0.564
